Area,Intensity,Eccentricity,Time
2893.0,31653.9140625,0.1941844864283572,0.0
152.0,284.16796875,0.4012440416432934,0.0
228.0,649.87109375,0.6098902168469227,0.0
3226.0,6078.03515625,0.07019111491801813,0.0
243.0,737.84375,0.6595008522612752,0.0
2739.0,33670.42578125,0.2804870233644308,0.0
81.0,160.7421875,0.0,0.0
2999.0,5720.1015625,0.20479399462878406,0.0
2560.0,29532.0546875,0.2597473588691453,0.0
157.0,292.515625,0.49598004310831073,0.0
3021.0,6005.5546875,0.10360579266935704,0.0
81.0,241.9375,0.0,0.0
125.0,377.61328125,0.5632653893382423,0.0
2803.0,33321.15234375,0.20284586804983715,0.0
157.0,353.77734375,0.4959800431083103,0.0
611.0,1654.78125,0.9270276523575829,0.0
2775.0,33778.68359375,0.30100103203553175,0.0
2871.0,34583.11328125,0.223503997451307,0.0
2952.0,34463.2890625,0.1587691358934621,0.0
2928.0,34481.78515625,0.18153711368108622,0.0
2790.0,34326.3984375,0.2054692903539391,0.0
2887.0,5864.27734375,0.15060124048267798,0.0
2450.0,27960.44921875,0.15624138122052003,0.0
119.0,291.078125,0.21991994184878721,0.0
110.0,306.96875,0.4392112740246769,0.0
4152.0,8136.8984375,0.7062420338141796,0.0
174957.0,278480.0234375,0.9845137625486028,0.0
1630.0,2676.94921875,0.9244504916273804,0.0
42613.0,70574.55859375,0.8358180600787777,0.0
2532.0,4426.6015625,0.5549336267875173,0.0
1057.0,1930.48828125,0.8892198668387048,0.0
46.0,173.484375,0.8308960803962363,0.0
249513.0,583805.703125,0.9479379818429566,0.0
5712.0,9378.18359375,0.9969153958117262,0.0
33698.0,54580.171875,0.9968688829639808,0.0
2652.0,43237.10546875,0.08279874155053543,0.0
137.0,269.64453125,0.3415718266696461,0.0
100.0,220.765625,0.304568390943487,0.0
2666.0,4947.76171875,0.18012359517934887,0.0
100.0,178.1015625,0.304568390943487,0.0
3035.0,5459.1875,0.21099222597365996,0.0
7306.0,12683.6015625,0.9939283238964881,0.0
2549.0,42703.6171875,0.1540060053831238,0.0
115.0,225.73046875,0.35344977265326344,0.0
100.0,217.7890625,0.304568390943487,0.0
3021.0,5652.6015625,0.10038022810196634,0.0
92.0,266.50390625,0.3468889594776243,0.0
153.0,346.609375,0.5194753463818631,0.0
2372.0,38107.328125,0.16788721392351855,0.0
3105.0,6367.19921875,0.15851541056999793,0.0
695.0,1851.39453125,0.9287587367600896,0.0
162.0,299.5703125,0.4548631961033729,0.0
2879.0,5710.08984375,0.26378225840154185,0.0
2956.0,5671.9921875,0.2664125735534541,0.0
108.0,215.01171875,0.3423402312476654,0.0
3079.0,6163.28125,0.2027645082307924,0.0
